INF;I_GE;YOU_GE;HE_GE;WE_GE;YOU_PL_GE;THEY_GE;NOUN_RU;INF_RU;I_RU;YOU_RU;HE_RU;WE_RU;YOU_PL_RU;THEY_RU;TOPIC;EOL
შეძლება;მე შემიძლია;შენ შეგიძლია;მას შეუძლია;ჩვენ შეგვიძლია;თქვენ შეგიძლიათ;მათ შეუძლიათ;РАДОСТЬ;РАДОВАТЬСЯ;Я РАД;ТЫ РАД;ОН РАД;МЫ РАДЫ;ВЫ РАДЫ;ОНИ РАДЫ;BODYFEELINGS;
ლაპარაკი;მე ვლაპარაკობ;შენ ლაპარაკობ;ის ლაპარაკობს;ჩვენ ვლაპარაკობთ;თქვენ ლაპარაკობთ;ისინი ლაპარაკობენ;РАЗГОВОР;РАЗГОВАРИВАТЬ;Я РАЗГОВАРИВАЮ;ТЫ РАЗГОВАРИВАЕШЬ;ОН РАЗГОВАРИВАЕТ;МЫ РАЗГОВАРИВАЕМ;ВЫ РАЗГОВАРИВАЕТЕ;ОНИ РАЗГОВАРИВАЮТ;RELATIONSHIPS;
დათვალიერება;მე ვათვალიერებ;შენ ათვალიერებ;ის ათვალიერებს;ჩვენ ვათვალიერებთ;თქვენ ათვალიერებთ;ისინი ათვალიერებენ;РАССМАТРИВАНИЕ;РАССМАТРИВАТЬ;Я РАССМАТРИВАЮ;ТЫ РАССМАТРИВАЕШЬ;ОН РАССМАТРИВАЕТ;МЫ РАССМАТРИВАЕМ;ВЫ РАССМАТРИВАЕТЕ;ОНИ РАССМАТРИВАЮТ;MISC;
დავარცხნა;მე ვივარცხნი;შენ ივარცხნი;ის ივარცხნის;ჩვენ ვივარცხნით;თქვენ ივარცხნით;ისინი ივარცხნიან;РАСЧЕСЫВАНИЕ;РАСЧЕСЫВАТЬСЯ;Я РАСЧЕСЫВАЮСЬ;ТЫ РАСЧЕСЫВАЕШЬСЯ;ОН РАСЧЕСЫВАЕТСЯ;МЫ РАСЧЕСЫВАЕМСЯ;ВЫ РАСЧЕСЫВАЕТЕСЬ;ОНИ РАСЧЕСЫВАЮТСЯ;CLEAN;
ჭრა;მე ვჭრი;შენ ჭრი;ის ჭრის;ჩვენ ვჭრით;თქვენ ჭრით;ისინი ჭრიან;РЕЗКА;РЕЗАТЬ;Я РЕЖУ;ТЫ РЕЖЕШЬ;ОН РЕЖЕТ;МЫ РЕЖЕМ;ВЫ РЕЖЕТЕ;ОНИ РЕЖУТ;MEAL;
დაბადება;მე ვიბადები;შენ იბადები;ის იბადება;ჩვენ ვიბადებით;თქვენ იბადებით;ისინი იბადებიან;РОЖДЕНИЕ;РОЖДАТЬСЯ;Я РОЖДАЮСЬ;ТЫ РОЖДАЕШЬСЯ;ОН РОЖДАЕТСЯ;МЫ РОЖДАЕМСЯ;ВЫ РОЖДАЕТЕСЬ;ОНИ РОЖДАЮТСЯ;LIFE;
თევზაობა;მე ვთევზაობ;შენ თევზაობ;ის თევზაობს;ჩვენ ვთევზაობთ;თქვენ თევზაობთ;ისინი თევზაობენ;РЫБАЛКА;РЫБАЧИТЬ;Я РЫБАЧУ;ТЫ РЫБАЧИШЬ;ОН РЫБАЧИТ;МЫ РЫБАЧИМ;ВЫ РЫБАЧИТЕ;ОНИ РЫБАЧАТ;LIFE;
სიცილი;მე ვიცინი;შენ იცინი;ის იცინის;ჩვენ ვიცინით;თქვენ იცინით;ისინი იცინიან;СМЕХ;СМЕЯТЬСЯ;Я СМЕЮСЬ;ТЫ СМЕЕШЬСЯ;ОН СМЕЕТСЯ;МЫ СМЕЕМСЯ;ВЫ СМЕЕТЕСЬ;ОНИ СМЕЮТСЯ;BODYFEELINGS;
ყურება;მე ვუყურებ;შენ უყურებ;ის უყურებს;ჩვენ ვუყურებთ;თქვენ უყურებთ;ისინი უყურებენ;СМОТРЕНИЕ;СМОТРЕТЬ;Я СМОТРЮ;ТЫ СМОТРИШЬ;ОН СМОТРИТ;МЫ СМОТРИМ;ВЫ СМОТРИТЕ;ОНИ СМОТРЯТ;BODYFEELINGS;
სიზმრება;მე მესიზმრება;შენ გესიზმრება;მას ესიზმრება;ჩვენ გესიზმრება;თქვენ გესიზმრება;მათ ესიზმრება;СОН;СНИТЬСЯ;МНЕ СНИТСЯ;ТЕБЕ СНИТСЯ;ЕМУ СНИТСЯ;НАМ СНИТСЯ;ВАМ СНИТСЯ;ИМ СНИТСЯ;BODYFEELINGS;
ძილი;მე მძინავს;შენ გძინავს;მას სძინავს;ჩვენ გვძინავს;თქვენ გძინავთ;მათ სძინავთ;СОН;СПАТЬ;Я СПЛЮ;ТЫ СПИШЬ;ОН СПИТ;МЫ СПИМ;ВЫ СПИТЕ;ОНИ СПЯТ;BODYFEELINGS;
ღირებულება;მე ვღირვარ;შენ ღირხარ;ის ღირს;ჩვენ ვღირვართ;თქვენ ღირხართ;ისინი ღირან;СТОИМОСТЬ;СТОИТЬ;Я СТÓЮ;ТЫ СТÓИШЬ;ОН СТÓИТ;МЫ СТÓИМ;ВЫ СТÓИТЕ;ОНИ СТÓЯТ;LIFE;
გაშრობა;მე ვიშრობ;შენ იშრობ;ის იშრობს;ჩვენ ვიშრობთ;თქვენ იშრობთ;ისინი იშრობენ;СУШКА;СУШИТЬ;Я СУШУ;ТЫ СУШИШЬ;ОН СУШИТ;МЫ СУШИМ;ВЫ СУШИТЕ;ОНИ СУШАТ;CLEAN;
არსებობა;მე ვარსებობ;შენ არსებობ;ის არსებობს;ჩვენ ვარსებობთ;თქვენ არსებობთ;ისინი არსებობენ;СУЩЕСТВОВАНИЕ;СУЩЕСТВОВАТЬ;Я СУЩЕСТВУЮ;ТЫ СУЩЕСТВУЕШЬ;ОН СУЩЕСТВУЕТ;МЫ СУЩЕСТВУЕМ;ВЫ СУЩЕСТВУЕТЕ;ОНИ СУЩЕСТВУЮТ;LIFE;
ჩქარობა;მე მეჩქარება;შენ გეჩქარება;მას ეჩქარება;ჩვენ გვეჩქარება;თქვენ გეჩქარებათ;მათ ეჩქარებათ;СПЕШКА;ТОРОПИТЬСЯ;Я ТОРОПЛЮСЬ;ТЫ ТОРОПИШЬСЯ;ОН ТОРОПИТСЯ;МЫ ТОРОПИМСЯ;ВЫ ТОРОПИТЕСЬ;ОНИ ТОРОПЯТСЯ;PLACEDIRECTION;
საჭიროება;მე მჭირდება;შენ გჭირდება;მას სჭირდება;ჩვენ გვჭირდება;თქვენ გჭირდებათ;მათ სჭირდებათ;ТРЕБОВАНИЕ;ТРЕБОВАТЬСЯ;МНЕ ТРЕБУЕТСЯ;ТЕБЕ ТРЕБУЕТСЯ;ЕМУ ТРЕБУЕТСЯ;НАМ ТРЕБУЕТСЯ;ВАМ ТРЕБУЕТСЯ;ИМ ТРЕБУЕТСЯ;MISC;
ვარჯიში;მე ვვარჯიშობ;შენ ვარჯიშობ;ის ვარჯიშობს;ჩვენ ვვარჯიშობთ;თქვენ ვარჯიშობთ;ისინი ვარჯიშობენ;ТРЕНИРОВКА;ТРЕНИРОВАТЬСЯ;Я ТРЕНИРУЮСЬ;ТЫ ТРЕНИРУЕШЬСЯ;ОН ТРЕНИРУЕТСЯ;МЫ ТРЕНИРУЕМСЯ;ВЫ ТРЕНИРУЕТЕСЬ;ОНИ ТРЕНИРУЮТСЯ;BODYFEELINGS;
ვახშმობა;მე ვვახშმობ;შენ ვახშმობ;ის ვახშმობს;ჩვენ ვვახშმობთ;თქვენ ვახშმობთ;ისინი ვახშმობენ;УЖИН;УЖИНАТЬ;Я УЖИНАЮ;ТЫ УЖИНАЕШЬ;ОН УЖИНАЕТ;МЫ УЖИНАЕМ;ВЫ УЖИНАЕТЕ;ОНИ УЖИНАЮТ;MEAL;
ღიმილი;მე ვიღიმი;შენ იღიმი;ის იღიმის;ჩვენ ვიღიმით;თქვენ იღიმით;ისინი იღიმიან;УЛЫБКА;УЛЫБАТЬСЯ;Я УЛЫБАЮСЬ;ТЫ УЛЫБАЕШЬСЯ;ОН УЛЫБАЕТСЯ;МЫ УЛЫБАЕМСЯ;ВЫ УЛЫБАЕТЕСЬ;ОНИ УЛЫБАЮТСЯ;BODYFEELINGS;
ხელ-პირის დაბანა;მე ვიბან ხელ-პირს;შენ იბან  ხელ-პირს;ის იბანს  ხელ-პირს;ჩვენ ვიბანთ  ხელ-პირს;თქვენ იბანთ  ხელ-პირს;ისინი იბანენ  ხელ-პირს;УМЫВАНИЕ;УМЫВАТЬСЯ;Я УМЫВАЮСЬ;ТЫ УМЫВАЕШЬСЯ;ОН УМЫВАЕТСЯ;МЫ УМЫВАЕМСЯ;ВЫ УМЫВАЕТЕСЬ;ОНИ УМЫВАЮТСЯ;CLEAN;
მართვა;მე ვმართავ;შენ მართავ;ის მართავს;ჩვენ ვმართავთ;თქვენ მართავთ;ისინი მართავენ;УПРАВЛЕНИЕ;УПРАВЛЯТЬ;Я УПРАВЛЯЮ;ТЫ УПРАВЛЯЕШЬ;ОН УПРАВЛЯЕТ;МЫ УПРАВЛЯЕМ;ВЫ УПРАВЛЯЕТЕ;ОНИ УПРАВЛЯЮТ;PLACEDIRECTION;
სწავლა;მე ვსწავლობ;შენ სწავლობ;ის სწავლობს;ჩვენ ვსწავლობთ;თქვენ სწავლობთ;ისინი სწავლობენ;УЧЕБА;УЧИТЬСЯ;Я УЧУСЬ;ТЫ УЧИШЬСЯ;ОН УЧИТСЯ;МЫ УЧИМСЯ;ВЫ УЧИТЕСЬ;ОНИ УЧАТСЯ;LIFE;
მიხედვა;მე მიხდება;შენ გიხდება;მას უხდება;ჩვენ გვიხდება;თქვენ გიხდებათ;მათ უხდებათ;ПОДХОДЯЩЕСТЬ;ХОРОШО СМОТРЕТЬСЯ;МНЕ ИДЕТ;ТЕБЕ ИДЕТ;ЕМУ ИДЕТ;НАМ ИДЕТ;ВАМ ИДЕТ;ИМ ИДЕТ;MISC;
სურვა;მე მინდა;შენ გინდა;მას უნდა;ჩვენ გვინდა;თქვენ გინდათ;მათ უნდათ;ХОТЕНИЕ;ХОТЕТЬ;Я ХОЧУ;ТЫ ХОЧЕШЬ;ОН ХОЧЕТ;МЫ ХОТИМ;ВЫ ХОТИТЕ;ОНИ ХОТЯТ;BODYFEELINGS;
კბილების გახეხვა;მე ვიხეხავ კბილებს;შენ იხეხავ კბილებს;ის იხეხავს კბილებს;ჩვენ ვიხეხავთ კბილებს;თქვენ იხეხავთ კბილებს;ისინი იხეხავენ კბილებს;ЧИСТКА ЗУБОВ;ЧИСТИТЬ ЗУБЫ;Я ЧИЩУ ЗУБЫ;ТЫ ЧИСТИШЬ ЗУБЫ;ОН ЧИСТИТ ЗУБЫ;МЫ ЧИСТИМ ЗУБЫ;ВЫ ЧИСТИТЕ ЗУБЫ;ОНИ ЧИСТЯТ ЗУБЫ;CLEAN;
კითხვა;მე ვკითხულობ;შენ კითხულობ;ის კითხულობს;ჩვენ ვკითხულობთ;თქვენ კითხულობთ;ისინი კითხულობენ;ЧТЕНИЕ;ЧИТАТЬ;Я ЧИТАЮ;ТЫ ЧИТАЕШЬ;ОН ЧИТАЕТ;МЫ ЧИТАЕМ;ВЫ ЧИТАЕТЕ;ОНИ ЧИТАЮТ;LIFE;
ხუმრობა;მე ვხუმრობ;შენ ხუმრობ;ის ხუმრობს;ჩვენ ვხუმრობთ;თქვენ ხუმრობთ;ისინი ხუმრობენ;ШУТКА;ШУТИТЬ;Я ШУЧУ;ТЫ ШУТИШЬ;ОН ШУТИТ;МЫ ШУТИМ;ВЫ ШУТИТЕ;ОНИ ШУТЯТ;RELATIONSHIPS;
